,Country Code,Year,GDP per capita
0,ABW,2016,28453.71556
1,AFE,2016,1446.533624
2,AFG,2016,512.0127781
3,AFW,2016,1673.843681
4,AGO,2016,1728.023754
5,ALB,2016,4124.05539
6,AND,2016,37474.74584
7,ARB,2016,6177.227235
8,ARE,2016,38141.87689
9,ARG,2016,12790.24247
10,ARM,2016,3591.828052
11,ASM,2016,12038.2497
12,ATG,2016,15198.74297
13,AUS,2016,49881.76371
14,AUT,2016,45307.58786
15,AZE,2016,3880.738731
16,BDI,2016,251.6514772
17,BEL,2016,42012.62272
18,BEN,2016,1087.287331
19,BFA,2016,688.2506963
20,BGD,2016,1678.95323
21,BGR,2016,7569.478815
22,BHR,2016,22608.45256
23,BHS,2016,31314.84456
24,BIH,2016,4994.971623
25,BLR,2016,5039.681886
26,BLZ,2016,4877.670506
27,BMU,2016,106885.8785
28,BOL,2016,3076.656439
29,BRA,2016,8710.06329
30,BRB,2016,16909.88655
31,BRN,2016,27158.40565
32,BTN,2016,2930.574923
33,BWA,2016,6982.917492
34,CAF,2016,402.1916451
35,CAN,2016,42315.60371
36,CEB,2016,12831.40994
37,CHE,2016,83073.28008
38,CHI,2016,
39,CHL,2016,13690.90746
40,CHN,2016,8094.363367
41,CIV,2016,2013.381448
42,CMR,2016,1413.255957
43,COD,2016,471.3188225
44,COG,2016,2051.666176
45,COL,2016,5870.777957
46,COM,2016,1273.050952
47,CPV,2016,3131.017598
48,CRI,2016,12011.22275
49,CSS,2016,9557.667766
50,CUB,2016,8060.796598
51,CUW,2016,18881.83062
52,CYM,2016,78471.62814
53,CYP,2016,24605.91992
54,CZE,2016,18575.23203
55,DEU,2016,42136.12079
56,DJI,2016,2803.689125
57,DMA,2016,8080.968623
58,DNK,2016,54663.99837
59,DOM,2016,7280.88361
60,DZA,2016,3946.452447
61,EAP,2016,6600.764194
62,EAR,2016,3303.710575
63,EAS,2016,9867.865824
64,ECA,2016,7070.965425
65,ECS,2016,22455.14736
66,ECU,2016,6060.092962
67,EGY,2016,3519.87324
68,EMU,2016,35163.47243
69,ERI,2016,
70,ESP,2016,26523.34822
71,EST,2016,18295.34293
72,ETH,2016,717.1248698
73,EUU,2016,31186.51062
74,FCS,2016,1762.810027
75,FIN,2016,43814.02651
76,FJI,2016,5651.272721
77,FRA,2016,37062.53357
78,FRO,2016,58224.80551
79,FSM,2016,3014.700358
80,GAB,2016,6984.419712
81,GBR,2016,41499.5557
82,GEO,2016,4062.169888
83,GHA,2016,1971.956935
84,GIB,2016,
85,GIN,2016,732.2915119
86,GMB,2016,690.7804932
87,GNB,2016,661.4578387
88,GNQ,2016,9250.316728
89,GRC,2016,17923.96681
90,GRD,2016,9628.259169
91,GRL,2016,48181.87419
92,GTM,2016,4173.301666
93,GUM,2016,36214.00692
94,GUY,2016,5811.397924
95,HIC,2016,40475.17746
96,HKG,2016,43733.91636
97,HND,2016,2342.584904
98,HPC,2016,987.1093103
99,HRV,2016,12527.73986
100,HTI,2016,1290.380508
101,HUN,2016,13107.37791
102,IBD,2016,5540.167966
103,IBT,2016,4493.836521
104,IDA,2016,1342.913778
105,IDB,2016,1861.940378
106,IDN,2016,3562.816334
107,IDX,2016,1080.258622
108,IMN,2016,82197.12677
109,IND,2016,1732.554242
110,INX,2016,
111,IRL,2016,62861.63912
112,IRN,2016,5755.802448
113,IRQ,2016,4550.658638
114,ISL,2016,61987.92636
115,ISR,2016,37330.2618
116,ITA,2016,30960.73151
117,JAM,2016,4843.7499
118,JOR,2016,4175.356602
119,JPN,2016,39375.47316
120,KAZ,2016,7714.841844
121,KEN,2016,1525.235192
122,KGZ,2016,1120.666513
123,KHM,2016,1269.591499
124,KIR,2016,1586.344978
125,KNA,2016,19542.16228
126,KOR,2016,29288.87044
127,KWT,2016,27653.15762
128,LAC,2016,7885.57463
129,LAO,2016,2324.400917
130,LBN,2016,7617.689634
131,LBR,2016,740.914906
132,LBY,2016,7687.882134
133,LCA,2016,10362.35158
134,LCN,2016,8350.020625
135,LDC,2016,1025.998979
136,LIC,2016,764.7048854
137,LIE,2016,165642.3863
138,LKA,2016,3886.291502
139,LMC,2016,2193.471208
140,LMY,2016,4349.147276
141,LSO,2016,1018.784872
142,LTE,2016,8179.070874
143,LTU,2016,15008.31324
144,LUX,2016,106899.2935
145,LVA,2016,14331.75159
146,MAC,2016,73545.75824
147,MAF,2016,
148,MAR,2016,2896.722168
149,MCO,2016,170028.6557
150,MDA,2016,2880.43529
151,MDG,2016,475.9555568
152,MDV,2016,9209.443564
153,MEA,2016,7307.448457
154,MEX,2016,8744.515559
155,MHL,2016,3490.998389
156,MIC,2016,4745.70858
157,MKD,2016,5149.589074
158,MLI,2016,780.7235497
159,MLT,2016,25624.53727
160,MMR,2016,1136.610627
161,MNA,2016,3962.898791
162,MNE,2016,7033.438006
163,MNG,2016,3658.3903
164,MNP,2016,21891.18479
165,MOZ,2016,428.9264503
166,MRT,2016,1536.855615
167,MUS,2016,9681.618567
168,MWI,2016,315.7779871
169,MYS,2016,9817.78709
170,NAC,2016,56312.43488
171,NAM,2016,4546.986688
172,NCL,2016,32391.20197
173,NER,2016,500.2149113
174,NGA,2016,2176.002772
175,NIC,2016,2107.57406
176,NLD,2016,46039.10593
177,NOR,2016,70460.56053
178,NPL,2016,899.523581
179,NRU,2016,9521.042101
180,NZL,2016,40058.19616
181,OED,2016,36037.76772
182,OMN,2016,16772.73921
183,OSS,2016,12385.43331
184,PAK,2016,1540.184503
185,PAN,2016,14343.98026
186,PER,2016,6204.996457
187,PHL,2016,3073.654686
188,PLW,2016,16835.986
189,PNG,2016,2509.629637
190,POL,2016,12447.43959
191,PRE,2016,1396.061296
192,PRI,2016,30627.1634
193,PRK,2016,
194,PRT,2016,19991.97249
195,PRY,2016,5324.609068
196,PSE,2016,3527.613824
197,PSS,2016,3965.895179
198,PST,2016,41401.37787
199,PYF,2016,20020.09386
200,QAT,2016,57162.96801
201,ROU,2016,9548.587403
202,RUS,2016,8704.898438
203,RWA,2016,744.7943858
204,SAS,2016,1696.739629
205,SAU,2016,19878.76817
206,SDN,2016,2583.447266
207,SEN,2016,1269.903294
208,SGP,2016,56860.41324
209,SLB,2016,2225.475204
210,SLE,2016,501.4151655
211,SLV,2016,3805.995686
212,SMR,2016,43828.23155
213,SOM,2016,389.8220615
214,SRB,2016,5765.200762
215,SSA,2016,1536.929331
216,SSD,2016,
217,SSF,2016,1538.244417
218,SST,2016,11348.57057
219,STP,2016,1700.097997
220,SUR,2016,5872.789429
221,SVK,2016,16512.29299
222,SVN,2016,21678.35947
223,SWE,2016,51965.15715
224,SWZ,2016,3425.531957
225,SXM,2016,31616.6817
226,SYC,2016,15740.11063
227,SYR,2016,713.029204
228,TCA,2016,28241.47929
229,TCD,2016,693.4497674
230,TEA,2016,6674.255578
231,TEC,2016,7677.406606
232,TGO,2016,803.1518934
233,THA,2016,5993.305516
234,TJK,2016,807.1025861
235,TKM,2016,6387.682575
236,TLA,2016,8185.147519
237,TLS,2016,1353.754934
238,TMN,2016,3968.09362
239,TON,2016,4157.877249
240,TSA,2016,1696.739629
241,TSS,2016,1538.244417
242,TTO,2016,16241.41096
243,TUN,2016,3924.349092
244,TUR,2016,10894.60338
245,TUV,2016,3706.329903
246,TZA,2016,966.5029907
247,UGA,2016,736.5598474
248,UKR,2016,2187.730469
249,UMC,2016,8041.062324
250,URY,2016,16715.63347
251,USA,2016,57866.74493
252,UZB,2016,2704.677188
253,VCT,2016,7438.792212
254,VEN,2016,
255,VGB,2016,
256,VIR,2016,35324.97489
257,VNM,2016,2745.565588
258,VUT,2016,2805.66532
259,WLD,2016,10286.41133
260,WSM,2016,4109.663296
261,XKX,2016,3759.560246
262,YEM,2016,1152.738019
263,ZAF,2016,5756.965741
264,ZMB,2016,1280.806543
265,ZWE,2016,1464.588957
266,ABW,2017,29348.41897
267,AFE,2017,1629.404273
268,AFG,2017,516.6798622
269,AFW,2017,1613.490478
270,AGO,2017,2313.220584
271,ALB,2017,4531.019374
272,AND,2017,38964.66201
273,ARB,2017,6272.949782
274,ARE,2017,40644.79119
275,ARG,2017,14613.04182
276,ARM,2017,3914.527854
277,ASM,2017,11003.82976
278,ATG,2017,15383.5764
279,AUS,2017,53934.25018
280,AUT,2017,47429.15846
281,AZE,2017,4147.089716
282,BDI,2017,250.5146007
283,BEL,2017,44198.48239
284,BEN,2017,1136.593872
285,BFA,2017,734.996268
286,BGD,2017,1839.583378
287,BGR,2017,8366.293221
288,BHR,2017,23742.93734
289,BHS,2017,32371.00818
290,BIH,2017,5394.26914
291,BLR,2017,5785.670673
292,BLZ,2017,4909.604664
293,BMU,2017,111820.5815
294,BOL,2017,3351.124344
295,BRA,2017,9928.675897
296,BRB,2017,17404.20747
297,BRN,2017,28571.60829
298,BTN,2017,3286.596744
299,BWA,2017,7296.092142
300,CAF,2017,450.900697
301,CAN,2017,45129.4293
302,CEB,2017,14254.7381
303,CHE,2017,83352.08865
304,CHI,2017,
305,CHL,2017,14962.55685
306,CHN,2017,8816.986905
307,CIV,2017,2111.026557
308,CMR,2017,1469.4475
309,COD,2017,467.0742317
310,COG,2017,2170.900563
311,COL,2017,6376.706716
312,COM,2017,1323.814843
313,CPV,2017,3292.633503
314,CRI,2017,12225.57449
315,CSS,2017,9915.744684
316,CUB,2017,8541.213686
317,CUW,2017,18788.80728
318,CYM,2017,81513.16283
319,CYP,2017,26608.875
320,CZE,2017,20636.19995
321,DEU,2017,44652.58917
322,DJI,2017,2926.153304
323,DMA,2017,7298.51458
324,DNK,2017,57610.09818
325,DOM,2017,7609.353275
326,DZA,2017,4109.698217
327,EAP,2017,7159.45138
328,EAR,2017,3521.381645
329,EAS,2017,10466.42427
330,ECA,2017,7889.016899
331,ECS,2017,23704.3284
332,ECU,2017,6213.503127
333,EGY,2017,2444.290387
334,EMU,2017,37154.48194
335,ERI,2017,
336,ESP,2017,28170.16786
337,EST,2017,20437.76538
338,ETH,2017,768.5230154
339,EUU,2017,33094.40835
340,FCS,2017,1825.738332
341,FIN,2017,46412.13648
342,FJI,2017,6101.02389
343,FRA,2017,38781.04949
344,FRO,2017,61455.05261
345,FSM,2017,3289.642117
346,GAB,2017,7230.434912
347,GBR,2017,40857.75558
348,GEO,2017,4357.000936
349,GHA,2017,2074.290733
350,GIB,2017,
351,GIN,2017,855.5752706
352,GMB,2017,679.7550717
353,GNB,2017,738.5499449
354,GNQ,2017,9667.856962
355,GRC,2017,18582.08934
356,GRD,2017,10152.83281
357,GRL,2017,50766.59942
358,GTM,2017,4454.04815
359,GUM,2017,36601.91988
360,GUY,2017,6124.95367
361,HIC,2017,42118.2044
362,HKG,2017,46160.42979
363,HND,2017,2453.727115
364,HPC,2017,1065.40861
365,HRV,2017,13629.28959
366,HTI,2017,1369.063734
367,HUN,2017,14623.69665
368,IBD,2017,6058.914633
369,IBT,2017,4879.042932
370,IDA,2017,1372.988159
371,IDB,2017,1787.801592
372,IDN,2017,3837.578024
373,IDX,2017,1162.971829
374,IMN,2017,83477.83429
375,IND,2017,1980.66702
376,INX,2017,
377,IRL,2017,69774.02897
378,IRN,2017,6032.065127
379,IRQ,2017,4985.452879
380,ISL,2017,72010.14903
381,ISR,2017,40774.12961
382,ITA,2017,32406.72032
383,JAM,2017,5070.099503
384,JOR,2017,4231.51828
385,JPN,2017,38834.05293
386,KAZ,2017,9247.581331
387,KEN,2017,1633.491216
388,KGZ,2017,1242.769643
389,KHM,2017,1385.260066
390,KIR,2017,1648.594957
391,KNA,2017,20382.77987
392,KOR,2017,31616.8434
393,KWT,2017,29759.46747
394,LAC,2017,8699.475686
395,LAO,2017,2455.211559
396,LBN,2017,7776.034642
397,LBR,2017,721.085044
398,LBY,2017,10205.32483
399,LCA,2017,11034.62983
400,LCN,2017,9188.579683
401,LDC,2017,1119.433811
402,LIC,2017,834.4908817
403,LIE,2017,171253.9643
404,LKA,2017,4077.043841
405,LMC,2017,2322.906883
406,LMY,2017,4718.39202
407,LSO,2017,1102.629728
408,LTE,2017,9018.161029
409,LTU,2017,16885.40739
410,LUX,2017,110193.2138
411,LVA,2017,15695.11515
412,MAC,2017,81019.47377
413,MAF,2017,
414,MAR,2017,3035.454346
415,MCO,2017,167517.0597
416,MDA,2017,3509.686829
417,MDG,2017,515.2933234
418,MDV,2017,9577.346946
419,MEA,2017,7469.549834
420,MEX,2017,9287.849587
421,MHL,2017,3672.576783
422,MIC,2017,5154.4311
423,MKD,2017,5450.492881
424,MLI,2017,830.0214445
425,MLT,2017,28857.01987
426,MMR,2017,1151.114464
427,MNA,2017,3864.148677
428,MNE,2017,7803.362579
429,MNG,2017,3687.100003
430,MNP,2017,27584.74351
431,MOZ,2017,461.4149278
432,MRT,2017,1587.858904
433,MUS,2017,10484.90836
434,MWI,2017,506.1372944
435,MYS,2017,10259.30481
436,NAC,2017,58430.1986
437,NAM,2017,5367.114674
438,NCL,2017,33976.54853
439,NER,2017,517.7715723
440,NGA,2017,1968.565398
441,NIC,2017,2159.161926
442,NLD,2017,48675.22234
443,NOR,2017,75496.75406
444,NPL,2017,1048.453755
445,NRU,2017,10339.38548
446,NZL,2017,42924.9956
447,OED,2017,37377.57018
448,OMN,2017,17329.18546
449,OSS,2017,13215.42974
450,PAK,2017,1631.531909
451,PAN,2017,15146.40851
452,PER,2017,6710.507602
453,PHL,2017,3123.245642
454,PLW,2017,16019.98989
455,PNG,2017,2695.249009
456,POL,2017,13864.68176
457,PRE,2017,1446.507196
458,PRI,2017,31108.76057
459,PRK,2017,
460,PRT,2017,21490.42986
461,PRY,2017,5678.869972
462,PSE,2017,3620.360487
463,PSS,2017,4222.557375
464,PST,2017,42995.85935
465,PYF,2017,21127.06433
466,QAT,2017,59124.86727
467,ROU,2017,10807.00917
468,RUS,2017,10720.33301
469,RWA,2017,772.2948846
470,SAS,2017,1911.329754
471,SAU,2017,20802.46179
472,SDN,2017,3178.314209
473,SEN,2017,1361.701972
474,SGP,2017,61150.7272
475,SLB,2017,2332.898555
476,SLE,2017,496.6822949
477,SLV,2017,3910.254403
478,SMR,2017,45399.02898
479,SOM,2017,384.4634014
480,SRB,2017,6292.543629
481,SSA,2017,1621.632341
482,SSD,2017,
483,SSF,2017,1622.982614
484,SST,2017,12064.64049
485,STP,2017,1813.807434
486,SUR,2017,6295.560562
487,SVK,2017,17538.04858
488,SVN,2017,23514.02546
489,SWE,2017,53791.50873
490,SWZ,2017,3914.418484
491,SXM,2017,29369.05683
492,SYC,2017,16416.72607
493,SYR,2017,955.836559
494,TCA,2017,27545.12879
495,TCD,2017,665.9488849
496,TEA,2017,7238.969962
497,TEC,2017,8562.533645
498,TGO,2017,830.7452767
499,THA,2017,6593.818352
500,TJK,2017,848.6723799
501,TKM,2017,6587.092604
502,TLA,2017,9037.781171
503,TLS,2017,1299.494635
504,TMN,2017,3867.06706
505,TON,2017,4513.432531
506,TSA,2017,1911.329754
507,TSS,2017,1622.982614
508,TTO,2017,16747.9067
509,TUN,2017,3687.780316
510,TUR,2017,10589.66772
511,TUV,2017,3978.676452
512,TZA,2017,1004.906616
513,UGA,2017,746.8307529
514,UKR,2017,2638.326172
515,UMC,2017,8834.526226
516,URY,2017,18690.89384
517,USA,2017,59914.7778
518,UZB,2017,1916.764642
519,VCT,2017,7717.846546
520,VEN,2017,
521,VGB,2017,
522,VIR,2017,35365.0693
523,VNM,2017,2974.117229
524,VUT,2017,3082.540055
525,WLD,2017,10825.90237
526,WSM,2017,4258.978675
527,XKX,2017,4009.380987
528,YEM,2017,964.3403436
529,ZAF,2017,6690.939847
530,ZMB,2017,1535.196574
531,ZWE,2017,1235.189032
532,ABW,2018,30253.71423
533,AFE,2018,1541.031661
